address,return on Kusama per era,standard deviation of return
EDy8hbM5LATNV7P8pPdefEeEs4uptVC1UiVepYNBMhs9Hfj,0,0
FhbVbN8VqQLnLkNX76nHAoBBDsC3Jych3k14WbUoJUBbGHr,0,0
F4LocUbsPrcC8xVap4wiTgDakzn3xFyXneuYDHRaHxnb6dH,0,0
FvBdo27BAkJUyQ2EDEFDppHoT6L1x6LADaHpgkPD1g6CFiM,0,0
GiBnzCGFofhmAvsUv9FUShUb8YJYYwWex3ThQNkbDDNprS6,0,0
H43yCasRWY3jdmo2MTZprqB4aPUNzyf7DkoACoqLMkXczDW,0,0
HA5jB52fFL1v4EoEHV4WgEiFZr7wGLiuBDZtSmnwKypvat7,0,0
HvuKoPxdDqFsptnistbe23WrvTrQ63xyHXJ89natRebLQ1A,0,0
FtFtFKRtm2kc9MC9mzXbS4HSFfs4US7sGPP6BHQ5nt6DLYi,0,0
Hww6Tje6LZpn4XU7BdaG7H3WjN4L4NEgD34WWJ75GHnEewT,0,0
HCj2iw96YwouLMAKeBC12LQsCcj2U8isYNXVosf4FoJi1Rv,0,0.00E+00
DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4,0.01072082249,9.57E-04
Ehk1tP6z2z7e1RJYfcBbtxAYBeqHRuzmcT6SFENJgPjq7qB,0,0
EPehck28w8fjRZCqZ3VZA7XpwGeipuVU4ETSwv7GkF5BdcG,0,0.00E+00
EXkCSUQ6Z1hKvGWMNkUDKrTMVHRduQHWc8G6vgo4NccUmhU,0,0
DwZBcfHnJtRmR7P23VgHQEzaeGPXQvH8jDvuob2qiyTHJMM,0,0
FzBcnE9XqgYMUx78Wt42PKpfpT8CXQwe1exbDb8wXozmDtK,0,0
DAT4gSgyMskggCmTQKfEM6hQgRy1NWdhtfMTAuPLsUAGUPy,0,0
EzU9s7bhDkqvZynyXLKjEVo5AgzMwq1eVr2g59YEtTY7PvQ,0,0
DzFnjVVVwqgtviDZBJ58UPJubZQXUHgrYZ1vvYG9YKtrFPs,0,0
DdKgwiN1Y8QyD8KF3t2GsuWhk4JXYFCjWvniP3x45BoBVqh,0,0
FWpcnzFXpZPy3UQ5kh66b77sYg4NA4rREqrZQvuswrKkrRJ,0,0.00E+00
FcKZr52LULzgPEnT9ygT6C6VSre8Mxgn6f9miskTKrQF7Vp,0,0
CcDc1Hv1jVNsYxgK4iiCLisxxGT7mem2BAmZq3C1mcwJ99f,0,0
DbuPiksDXhFFEWgjsEghUypTJjQKyULiNESYji3Gaose2NV,0,0
FmQHyUXoRkGTRySqVUy7NBAVhkKFvTtRtkzVTjZgBzbDzum,0,0
DGiLC1uvohfgHiirDtsr5HJRYXUFy9NdXj6YC6azcaRpvJZ,0,0
HhNCj8er5ER15u63dB2Kg6iNBskMpvsq4hhUTFjSEfd1LyK,0,0
GhoRyTGK583sJec8aSiyyJCsP2PQXJ2RK7iPGUjLtuX8XCn,0.01083019172,0.0009664185327
FixLofucZpDCtQbkxvT9Vqmm61FxQbccJa69NoDW9jcX73r,0,0
Fsspzse4QY1KqagdyrVqDt7cmVBr3HSVsfJ38WKgxsLVaXo,0.007198937985,0.0003242518894
HCvogunioVVuAWEJDcM8gc7NuMTgZ4ZNe8NP4kCdNsTh7wD,0,0
EXWN5ymgSed5MxLo6oT6bPDZnaMomADuQN8bvq9hBvmnb8e,0,0
HqFz5RBczgtKrHQGav7DFZwSwrDXxKjLWc95mMDidVdfpwC,0,0
EoeAhrhJv2p6Sg5T67mxkLwrPnjKbH7iZSh8q1JTyvELvrR,0,0
EFjHdypk8xLf3ocDEFPaKFWVcfamH8mpvfUeXHvRWpSBk2M,0.008254761191,0.0004182515922
GxujeV9rVRqsQHMbTiAiHATuZyrcHC68ZUJHtqS4LufuWLk,0,0
FAGzHVggwv1QRmkGjom1Foc24jzZS1CJGcWUzrGdW8FyXEm,0,0
DkbdmnfvC6mKDwcVeqin68TxwQx7t7f7rMJyws5fVCNC93p,0,0
EPq4dzASVXqbt2N9vtrScgetyvkm8T3HKQhkyunSeicyX1g,0,0
HP8qJ8P4u4W2QgsJ8jzVuSsjfFTT6orQomFD6eTRSGEbiTK,0,0
HKo9cenaBGRx7kRbLr1Qv4y49KQ2ajve4dmtuTFunA8YkUM,0,0.00E+00
HpvND7GR7gZYd42wkrxuLT7XjtozV3BZQh2wBDkh8cc9KwH,0,0
Fgqjkry96qFLpRqPZstNzgaqKXiVyrpzTqD55neMdW8PK6g,0,0
Hbh1PWzxAeBK8LfCvgajTCZWrJHJnzy7m4xoACN2zCZRUC2,0,0.00E+00
D8SDANbRdaSDDuQb87Pzs38kJcaLTvgbrU4m3iL6vHoQzYJ,0,0
GuMFX3jpW1DJ2s1jYB1X3xHYKYXn3ex7ApWtWacCRiMrLi6,0,0
EtkmcFRbBVakSYf8Fey3nUwrxqTZbrRNicG6nPNzXRtFEDU,0,0.00E+00
HRMhY2CtVMp2yVSieKvq8Y8FHAhRKrGGMd6MoQe3iN6uJ2D,0.008745563327,0.0003869870207
F5bKg43gmapA6s1uYfZG7ERSiiJ6XX1nLtrThdoQfkZcyGy,0,0
FXCgfz7AzQA1fNaUqubSgXxGh77sjWVVkypgueWLmAcwv79,0,0
FMQUdmpAgZmLMG8TWeZTs8cpMchZrB9WGbJQQf83HaCnwYB,0,0
Eo9RxTKq2WppUvRRycUmLFHJvHtBVoxURhDe78ZKmjoJfWN,0,0
D5NGokAYvFZmvFynjApN2DG4r1H1cQ9pyum7KC3KmtDYLkn,0,0
EPpKWsEPMCSViEqjWFjqtx4AyCh77jCRH9vo82dBgjSFL6v,0,0.00E+00
